state,state_name,year,annual_mwh,avg_gw,rank
TX,Texas,2024,505431317,57.69763892694064,1
FL,Florida,2024,255095458,29.12048607305936,2
CA,California,2024,245717145,28.049902397260272,3
OH,Ohio,2024,153707376,17.54650410958904,4
GA,Georgia,2024,150003965,17.12374029680365,5
PA,Pennsylvania,2024,142146514,16.22677100456621,6
NY,New York,2024,140497501,16.038527511415523,7
VA,Virginia,2024,138044772,15.758535616438355,8
NC,North Carolina,2024,136904526,15.628370547945206,9
IL,Illinois,2024,133226907,15.20855102739726,10
TN,Tennessee,2024,102962435,11.753702625570776,11
IN,Indiana,2024,99219607,11.326439155251142,12
MI,Michigan,2024,98991014,11.300344063926941,13
LA,Louisiana,2024,95356829,10.885482762557078,14
AZ,Arizona,2024,90843288,10.370238356164384,15
WA,Washington,2024,89981629,10.271875456621004,16
AL,Alabama,2024,87522932,9.991202283105023,17
SC,South Carolina,2024,83961428,9.58463789954338,18
MO,Missouri,2024,77776034,8.878542694063926,19
KY,Kentucky,2024,74405871,8.49382089041096,20
NJ,New Jersey,2024,73531424,8.393998173515982,21
OK,Oklahoma,2024,72083773,8.228741210045662,22
WI,Wisconsin,2024,68291424,7.795824657534246,23
MN,Minnesota,2024,64562108,7.370103652968037,24
OR,Oregon,2024,59680701,6.812865410958905,25
MD,Maryland,2024,59018688,6.737293150684931,26
CO,Colorado,2024,56842904,6.48891598173516,27
IA,Iowa,2024,54930422,6.270596118721461,28
AR,Arkansas,2024,49895812,5.69586894977169,29
MA,Massachusetts,2024,49418575,5.641389840182648,30
MS,Mississippi,2024,48684612,5.557604109589041,31
KS,Kansas,2024,41258210,4.709841324200913,32
NV,Nevada,2024,40664639,4.64208207762557,33
NE,Nebraska,2024,35191045,4.017242579908676,34
UT,Utah,2024,34688083,3.959826826484018,35
WV,West Virginia,2024,32990570,3.766046803652968,36
NM,New Mexico,2024,30296354,3.458487899543379,37
ND,North Dakota,2024,29769698,3.3983673515981736,38
CT,Connecticut,2024,27351355,3.122300799086758,39
ID,Idaho,2024,26369555,3.0102231735159815,40
WY,Wyoming,2024,17216901,1.9653996575342467,41
MT,Montana,2024,15567013,1.7770562785388129,42
SD,South Dakota,2024,13637204,1.5567584474885845,43
DE,Delaware,2024,11373916,1.2983922374429224,44
ME,Maine,2024,11341591,1.2947021689497717,45
NH,New Hampshire,2024,10913961,1.2458859589041096,46
DC,District of Columbia,2024,10142915,1.15786700913242,47
HI,Hawaii,2024,8952134,1.021933105022831,48
RI,Rhode Island,2024,7414247,0.8463752283105023,49
AK,Alaska,2024,6046503,0.6902400684931507,50
VT,Vermont,2024,5458947,0.6231674657534246,51
