"year","state","total_sales_mwh"
2010,"AK",6247038
2010,"AL",90862645
2010,"AR",48194285
2010,"AZ",72833030
2010,"CA",258530892
2010,"CO",52917786
2010,"CT",30391766
2010,"DC",11876995
2010,"DE",11605932
2010,"FL",231209614
2010,"GA",140671580
2010,"HI",10016509
2010,"IA",45445269
2010,"ID",22797668
2010,"IL",144760674
2010,"IN",105994376
2010,"KS",40420675
2010,"KY",93569426
2010,"LA",85079692
2010,"MA",57123422
2010,"MD",65335498
2010,"ME",11531568
2010,"MI",103649219
2010,"MN",67799706
2010,"MO",86085117
2010,"MS",49687166
2010,"MT",13771453
2010,"NC",136414947
2010,"ND",12956263
2010,"NE",29849460
2010,"NH",10890074
2010,"NJ",79179427
2010,"NM",22428344
2010,"NV",33772595
2010,"NY",144623573
2010,"OH",154145418
2010,"OK",57845980
2010,"OR",46025945
2010,"PA",148963968
2010,"RI",7799227
2010,"SC",82479293
2010,"SD",11356149
2010,"TN",103521537
2010,"TX",358457550
2010,"UT",28044001
2010,"VA",113806135
2010,"VT",5594833
2010,"WA",90379970
2010,"WI",68752417
2010,"WV",32031803
2010,"WY",17113458
2011,"AK",6319540
2011,"AL",88995369
2011,"AR",47927829
2011,"AZ",74943645
2011,"CA",261941700
2011,"CO",53458285
2011,"CT",29858993
2011,"DC",11562055
2011,"DE",11483296
2011,"FL",225090422
2011,"GA",136371149
2011,"HI",9961653
2011,"IA",45654877
2011,"ID",23271724
2011,"IL",142885567
2011,"IN",105818139
2011,"KS",40760399
2011,"KY",89538341
2011,"LA",86369081
2011,"MA",55569912
2011,"MD",63599711
2011,"ME",11415345
2011,"MI",105053558
2011,"MN",68532708
2011,"MO",84254841
2011,"MS",49337557
2011,"MT",13788081
2011,"NC",131084933
2011,"ND",13737016
2011,"NE",29676084
2011,"NH",10868607
2011,"NJ",76859762
2011,"NM",23041665
2011,"NV",33916479
2011,"NY",144046609
2011,"OH",154746310
2011,"OK",59846794
2011,"OR",47171446
2011,"PA",148757238
2011,"RI",7732420
2011,"SC",80488546
2011,"SD",11679600
2011,"TN",100733329
2011,"TX",376065116
2011,"UT",28858946
2011,"VA",110228265
2011,"VT",5550184
2011,"WA",93724917
2011,"WI",68611622
2011,"WV",31238753
2011,"WY",17417762
2012,"AK",6416411
2012,"AL",86182548
2012,"AR",46859567
2012,"AZ",75063343
2012,"CA",259538038
2012,"CO",53685297
2012,"CT",29492338
2012,"DC",11258845
2012,"DE",11519331
2012,"FL",220674333
2012,"GA",130978872
2012,"HI",9639157
2012,"IA",45709100
2012,"ID",23711859
2012,"IL",143540004
2012,"IN",105173425
2012,"KS",40293476
2012,"KY",89048490
2012,"LA",84730743
2012,"MA",55313324
2012,"MD",61813552
2012,"ME",11561059
2012,"MI",104818191
2012,"MN",67988535
2012,"MO",82435359
2012,"MS",48387675
2012,"MT",13863383
2012,"NC",128084893
2012,"ND",14716956
2012,"NE",30827939
2012,"NH",10870261
2012,"NJ",75052914
2012,"NM",23178568
2012,"NV",35179918
2012,"NY",143162668
2012,"OH",152456864
2012,"OK",59340624
2012,"OR",46688856
2012,"PA",144709727
2012,"RI",7708334
2012,"SC",77780953
2012,"SD",11734210
2012,"TN",96381472
2012,"TX",365104131
2012,"UT",29723368
2012,"VA",107794985
2012,"VT",5510764
2012,"WA",92336441
2012,"WI",68820090
2012,"WV",30817241
2012,"WY",16971354
2013,"AK",6268212
2013,"AL",87852107
2013,"AR",46683034
2013,"AZ",75662037
2013,"CA",261332459
2013,"CO",53441649
2013,"CT",29824516
2013,"DC",11085519
2013,"DE",11347856
2013,"FL",221919514
2013,"GA",130497470
2013,"HI",9503164
2013,"IA",46705216
2013,"ID",24208056
2013,"IL",141804888
2013,"IN",105487389
2013,"KS",39847397
2013,"KY",84763842
2013,"LA",85807932
2013,"MA",55265074
2013,"MD",61899478
2013,"ME",11855047
2013,"MI",103038305
2013,"MN",68644103
2013,"MO",83406957
2013,"MS",48781990
2013,"MT",14045174
2013,"NC",129779905
2013,"ND",16032967
2013,"NE",30700605
2013,"NH",11043276
2013,"NJ",74642399
2013,"NM",23065026
2013,"NV",35211215
2013,"NY",147895127
2013,"OH",150307018
2013,"OK",59929172
2013,"OR",47640978
2013,"PA",146253763
2013,"RI",7781122
2013,"SC",78602094
2013,"SD",12209799
2013,"TN",96944013
2013,"TX",378817254
2013,"UT",30474034
2013,"VA",110511827
2013,"VT",5587712
2013,"WA",92882723
2013,"WI",69124043
2013,"WV",31399850
2013,"WY",17053514
2014,"AK",6164812
2014,"AL",90493727
2014,"AR",47080301
2014,"AZ",76297685
2014,"CA",262584786
2014,"CO",53396521
2014,"CT",29354460
2014,"DC",11193589
2014,"DE",11338477
2014,"FL",226078111
2014,"GA",135789932
2014,"HI",9475452
2014,"IA",47201853
2014,"ID",23233284
2014,"IL",141540287
2014,"IN",106942504
2014,"KS",40561606
2014,"KY",78838924
2014,"LA",90628316
2014,"MA",54469292
2014,"MD",61683869
2014,"ME",12002661
2014,"MI",103314098
2014,"MN",68719367
2014,"MO",83878397
2014,"MS",49408631
2014,"MT",14102392
2014,"NC",133132776
2014,"ND",18239732
2014,"NE",30222168
2014,"NH",10944081
2014,"NJ",73866078
2014,"NM",23115222
2014,"NV",35075606
2014,"NY",147371913
2014,"OH",150679713
2014,"OK",61573374
2014,"OR",47334953
2014,"PA",146687698
2014,"RI",7643104
2014,"SC",81619765
2014,"SD",12354726
2014,"TN",100219230
2014,"TX",389669820
2014,"UT",30043019
2014,"VA",112098381
2014,"VT",5569861
2014,"WA",92140777
2014,"WI",69494755
2014,"WV",32696106
2014,"WY",17134075
2015,"AK",6159204
2015,"AL",88845543
2015,"AR",46465154
2015,"AZ",77349416
2015,"CA",261170437
2015,"CO",54116046
2015,"CT",29476155
2015,"DC",11291233
2015,"DE",11498205
2015,"FL",235599398
2015,"GA",135878215
2015,"HI",9511352
2015,"IA",47147293
2015,"ID",23058814
2015,"IL",138619970
2015,"IN",104514518
2015,"KS",39849127
2015,"KY",76038630
2015,"LA",91676489
2015,"MA",54621088
2015,"MD",61781719
